,0
SP500_logdiff,0.12969457
TED_Spread_logdiff_rollstd20,0.09540591
T10_yield_logdiff_lag2_rollmean20,0.09132123
T10_yield_logdiff_lag1,0.08957808
T10_yield_logdiff_lag1_rollmean20,0.06692994
T10_yield_logdiff_rollmean20,0.06512232
T10_yield_logdiff_rollmean60,0.060998198
T10_yield_logdiff_lag3_rollmean20,0.046298355
T10_yield_logdiff_lag4,0.044234052
T10_yield_logdiff_lag2,0.04306355
Oil_WTI_diff,0.04087426
T10_yield_logdiff_rollstd60,0.035268158
VIX_x_SP500_lag1,0.033788532
T10_yield_logdiff_rollstd20,0.03355261
T10_yield_logdiff_lag3,0.030965416
TED_Spread_logdiff_lag2_rollstd60,0.024536472
VIX_logdiff_rollmean20,0.021177623
T10_yield_logdiff_lag5,0.018026669
TED_Spread_logdiff_lag5,0.016433291
DXY_logdiff,0.012730725
